relative_path,absolute_path,referenced_by_fusion_script,raw_source_role,raw_source_id,readable_by_gdal,driver,crs,epsg,width,height,band_count,dtype,nodata,pixel_width,pixel_height,native_resolution_m,xmin,ymin,xmax,ymax,multibeam_coverage,source_confidence,sha256,evidence
DEM_30m_GA.tif,/home/daij/Desktop/general/DEM/DEM_30m_GA.tif,true,RIBOT_PATH input; east-side high-detail bathymetry in fusion script,ribot_multibeam,true,GTiff,"PROJCRS[""WGS 84 / UTM zone 36N"",",32636,1637,5796,1,Float32,-9999,30,30,30,639830.95,3077406.344,688940.95,3251286.344,true,high,b4513d6a2f6c903f8e3a5cbd9c7d1b8edb48e3313a10ba7768cd49eb358d91fd,process/build_fused_C.py;process/C_fused_v3_summary.txt
GMRTv4_4_1.tif,/home/daij/Desktop/general/DEM/GMRTv4_4_1.tif,true,GMRT_PATH input; offshore/background bathymetry fallback in fusion script,gmrt,true,GTiff,"GEOGCRS[""WGS 84"",",4326,2368,4364,1,Float32,unknown,0.000549548479087,0.000481668196606,53.6344811134,33.9996642,27.698852,35.300995,29.8008521,unknown,high,fef90faeb3a901942911d4ac5f5fc29b78a7d53d183f7fa88a687b5400af0bfd,process/build_fused_C.py;process/C_fused_v3_summary.txt
GMRTv4_4_1_bounds.geojson,/home/daij/Desktop/general/DEM/GMRTv4_4_1_bounds.geojson,false,processing/provenance sidecar,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0c07c439c1a085f7e38fd2df561e117c01c7099324ac82171ad1db5e56014f43,file inventory
copennicus data/Copernicus_DSM_10_N27_00_E034_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N27_00_E034_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,26.9998611,35.0001389,28.0001389,false,medium,a41aa78280dcc2204084fa501962cac8e8ab3f99e7109b1b9c6c62181535d892,GDAL metadata only
copennicus data/Copernicus_DSM_10_N27_00_E035_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N27_00_E035_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,34.9998611,26.9998611,36.0001389,28.0001389,false,medium,26821011a57c6ec29b2a4c33c7e70c7146c990800b0bb1dcf00b45abb864cba1,GDAL metadata only
copennicus data/Copernicus_DSM_10_N28_00_E034_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N28_00_E034_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,medium,08c033f48b44e8ebab215e61e6b465fd9d286eb754552e14b8480a6634efe71a,GDAL metadata only
copennicus data/Copernicus_DSM_10_N28_00_E035_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N28_00_E035_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,34.9998611,27.9998611,36.0001389,29.0001389,false,medium,4596fbea282e30ddd026a7b6293d6787247d11246e10ead050a357ea6368f14b,GDAL metadata only
copennicus data/Copernicus_DSM_10_N29_00_E034_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N29_00_E034_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,28.9998611,35.0001389,30.0001389,false,medium,de8cfb428cdedfaf1c378d890057b55e32d18e9943b0fc32de16dfb5d4b85e2c,GDAL metadata only
copennicus data/Copernicus_DSM_10_N29_00_E035_00_DEM.tif,/home/daij/Desktop/general/DEM/copennicus data/Copernicus_DSM_10_N29_00_E035_00_DEM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Float32,unknown,0.000277777777778,0.000277777777778,30.9222222222,34.9998611,28.9998611,36.0001389,30.0001389,false,medium,d9d9bd8db3e456e606509b06ed155ea516dbf6a9e3bd5cd32523e93fd0efc5f7,GDAL metadata only
copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_EDM.tif,/home/daij/Desktop/general/DEM/copennicus data/DEM1_SAR_DGE_30_20110126T154536_20140221T034012_ADS_000000_BqqY_941fe7da/Copernicus_DSM_10_N28_00_E034_00/AUXFILES/Copernicus_DSM_10_N28_00_E034_00_EDM.tif,false,A2/Copernicus land/background DEM input,copernicus_glo30,true,GTiff,"GEOGCRS[""WGS 84"",",4326,3601,3601,1,Byte,unknown,0.000277777777778,0.000277777777778,30.9222222222,33.9998611,27.9998611,35.0001389,29.0001389,false,medium,ded2528c94175c39aa7c5336b03807725ca9ae646214dbc76b5054de5063981b,GDAL metadata only
