side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
east,east_0000,0,0,74081.9488967,3129012.6,common,250,0.00027102573544,41.043292764,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,111.685080978,207.124916557,143.534337528,342.170985273,755.708310017,2.63415019852,5.35508530948,10.7969555314,27.1225661972,70.2600492218,0.827861761179,39.6200573247,0.254362316118,14.2712407553,0.39727329549,21.6666031045,0.413537324744,22.466920689,2.72093511096,5.44187022192,16.3256106658,43.1374830247,80.749677721,127.307327854,-24.6890947877,-28.2949988154,31517.6913999,127.307327854,150,4
east,east_0000,0,0,74081.9488967,3129012.6,common,500,0.00027102573544,41.043292764,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,154.625097569,145.093513451,193.868129406,357.781959877,728.234211063,1.70566348299,3.46752188459,6.99123868779,17.5623890974,35.1809731134,0.579736148752,30.1024197014,0.195098463823,11.0396438022,0.32782766094,18.1505748408,0.370452251186,20.327262231,1.7618584016,3.5237168032,10.5711504096,17.618584016,98.7041079758,48.2996949778,24.7622747543,-14.6527696945,26348.6001266,98.7041079758,400,4
east,east_0000,0,0,74081.9488967,3129012.6,common,1000,0.00027102573544,41.043292764,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,150.35942063,168.185926773,201.468409899,363.722878888,683.368353619,1.65277166525,3.35999567127,6.77444368331,17.0177877194,34.0900277796,0.67210580204,33.9052766806,0.133129932506,7.58319261816,0.324508937977,17.9787100817,0.319645474731,17.7262437481,1.70722400602,3.41444801204,10.2433440361,17.0722400602,46.0841385192,43.2009049213,29.4140080543,-7.86097974784,23126.7443936,46.0841385192,400,4
east,east_0001,500,0.00290230300142,74405.9600427,3129294.6887,common,250,0.000392577310493,48.8076081541,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,30.9354032573,78.0267616091,168.223432315,378.906884324,741.918773901,8.71939813604,19.0426376001,39.6891165281,165.654930689,298.564684029,0.308999802177,17.1711386695,0.360786682825,19.8387686179,0.421366904018,22.8489473783,0.363011889577,19.9514991122,10.323239464,20.6464789281,125.965814161,132.909753341,-11.0132161592,-17.0428538708,-6.70935891178,11.858493368,2964.623342,11.858493368,0,4
east,east_0001,500,0.00290230300142,74405.9600427,3129294.6887,common,500,0.000392577310493,48.8076081541,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,55.8193919789,92.4204165172,160.363365133,377.428961341,716.113394121,4.65589134971,10.1681848098,21.1927717301,69.9703421113,281.999744969,0.36657442181,20.131644409,0.271771794465,15.2041515124,0.434131192415,23.4671685653,0.33868443278,18.7104403144,5.51229346013,11.0245869203,48.7775703812,212.029402857,-13.0841633594,-13.8321615376,-17.0424748646,8.7369444209,2184.23610522,8.7369444209,0,4
east,east_0001,500,0.00290230300142,74405.9600427,3129294.6887,common,1000,0.000392577310493,48.8076081541,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,99.0517151853,119.917127047,168.867727031,371.583858636,673.280435659,2.22594342718,4.86132567187,10.1320901613,25.9443836294,108.904715367,0.47656126393,25.4806602337,0.195802399935,11.0784923218,0.405432263209,22.0692211751,0.301696577023,16.7883830004,2.63538224469,5.27076448938,15.8122934682,82.9603317377,-16.3514237825,-14.6870481492,-10.6338181784,2.89207180547,723.017951367,2.89207180547,0,4
east,east_0002,1000,0.00580460600284,74637.4290991,3129647.28996,common,250,0.000652796950203,63.5363157879,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,27.9191896897,79.8175887031,181.642150139,370.465984088,740.158653846,10.0826656366,21.9831511816,45.7841222717,173.250601723,287.882546746,0.316215319955,17.5477523325,0.407298245744,22.1609814617,0.377647667899,20.6889267445,0.369692669758,20.2889837929,11.900485545,23.80097109,127.466479451,114.631945023,-25.0426458861,-30.5040535536,0,0,0,0,0,2
east,east_0002,1000,0.00580460600284,74637.4290991,3129647.28996,common,500,0.000652796950203,63.5363157879,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,55.9209895931,96.7938184728,169.105854652,372.434729571,715.518826016,4.80966287212,10.4864675534,21.8400769161,73.3729471795,261.796533863,0.384120239033,21.0127930701,0.289248144717,16.1324147179,0.406657749838,22.1294983346,0.343084096445,18.9362793007,5.67680468131,11.3536093626,51.5328702634,188.423586684,-25.9651314902,-18.9175191639,-16.5999706916,0,0,0,0,2
east,east_0002,1000,0.00580460600284,74637.4290991,3129647.28996,common,1000,0.000652796950203,63.5363157879,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,104.275282111,124.985021851,172.054401845,372.132591073,673.904908305,2.10790567667,4.59584903803,9.57173576075,24.4993959289,49.3788295425,0.496885052548,26.4220946786,0.188277519974,10.6626848493,0.400156378457,21.8091330574,0.301772317232,16.7923604711,2.48794336136,4.97588672272,14.9276601682,24.8794336136,-22.255713714,-19.2383066899,-14.8942867288,0.548732437879,137.18310947,0.548732437879,0,2
east,east_0003,1500,0.00870690900426,74796.7535983,3130079.74503,common,250,0.000417276245281,86.2101182798,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,52.9618355758,110.321642257,197.962795411,363.630797824,655.867225417,0,5.97177290035,18.9026002913,83.3843609607,224.225208492,0.419759549045,22.7706937214,0.350564612618,19.3188606719,0.331336004827,18.3318925385,0.292236427593,16.2902856351,5.97177290035,12.9308273909,64.4817606694,140.840847532,9.41528272341,0,0,-15.2760864999,706.146204256,9.41528272341,0,3
