side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
east,east_0000,0,0,74081.9488967,3129012.6,native,0,0.00027102573544,41.043292764,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,137.420316524,213.341378696,131.598500073,333.218459787,777.040191108,3.80323487881,7.7317714227,15.5888445105,39.1600637738,74.5868456738,0.852727609733,40.455143439,0.326971514492,18.1062702908,0.403239919429,21.9612595442,0.443821731321,23.9326884247,3.92853654389,7.85707308778,23.5712192633,35.4267819,101.634929768,139.985690333,-95.1143721111,-34.7498580481,35619.7577992,139.985690333,150,4
east,east_0001,500,0.00290230300142,74405.9600427,3129294.6887,native,0,0.000392577310493,48.8076081541,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,35.7853867568,72.2726469058,226.712872184,377.51956107,759.869482198,11.0657120802,24.1668451931,50.4422572041,178.912338494,307.295955471,0.285983343364,15.9596472938,0.617760901112,31.7061509202,0.301613377772,16.7840136286,0.382349921128,20.924350779,13.1011331128,26.2754120111,128.47008129,128.383616977,-10.560973581,-16.7870121209,-1.86164619856,11.6000613091,2900.01532728,11.6000613091,0,4
east,east_0002,1000,0.00580460600284,74637.4290991,3129647.28996,native,0,0.000652796950203,63.5363157879,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,28.1638152034,73.3556883627,241.18847772,367.968317835,757.080188858,11.3947043717,24.8437782131,53.6747822169,190.840421736,298.779454983,0.290367718593,16.1915914024,0.671331157431,33.8746925486,0.25355968023,14.2280394291,0.389111871022,21.2616022663,13.4490738414,28.8310040038,137.165639519,107.939033247,-28.7435187154,-31.4079413281,10.7523131393,0,4032.11742724,10.7523131393,0,2
east,east_0003,1500,0.00870690900426,74796.7535983,3130079.74503,native,0,0.000417276245281,86.2101182798,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,56.9073339187,104.763629691,230.436164581,363.870681686,667.963982466,0,6.44827724587,20.410891268,78.0240488674,235.252482513,0.397527498781,21.6791814231,0.502690139561,26.6882253593,0.26686903421,14.9422416591,0.30409330078,16.9141651864,6.44827724587,13.9626140221,57.6131575994,157.228433646,15.5848602005,0,0,-13.6488793838,1168.86451504,15.5848602005,0,3
east,east_0004,2000,0.0116092120057,74693.2058748,3130489.29821,native,0,-8.49379239224e-05,87.4444835336,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,105.666190659,186.751595296,277.655165749,482.395342987,825.88592504,8.6384616937,14.6447839079,26.6574283364,57.9779635262,95.7226304204,0.755770944208,37.0809286,0.36361428181,19.9819890786,0.409480354477,22.2681356875,0.343490582053,18.9571139286,6.00632221424,12.0126444285,31.3205351898,37.7446668942,48.7588567402,59.5968028456,47.2190011676,42.385891294,43879.873086,59.5968028456,900,4
east,east_0005,2500,0.0145115150071,74835.4879714,3130947.61039,native,0,-0.000198379324404,81.3435337184,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,43.7306260454,false,unknown,43.7306260454,41.3224737182,127.154792451,205.250490593,440.009451693,903.090425898,14.743295034,30.6239756313,57.7303593565,117.825610299,208.688166885,0.507186755673,26.8935199331,0.312382792572,17.3479064048,0.469517922199,25.1508968328,0.463080974205,24.8479569624,15.8806805972,27.1063837252,60.0952509427,90.8625565859,-28.0671865847,-50.278783216,0,-30.4003745849,0,0,0,0
east,east_0006,3000,0.0174138180085,74838.0567315,3131440.73709,native,0,-0.000516734211133,76.0781855026,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,61.8444444444,false,unknown,61.8444444444,85.4314932991,177.433575667,172.164058773,482.735195219,984.032300452,9.17370772753,16.7761207934,31.9809469252,66.9362765613,123.289618585,0.713867976141,35.5218260523,0.0210780675729,1.2075055079,0.621142272891,31.8461635737,0.501297105233,26.6244752484,7.60241306589,15.2048261318,34.9553296361,56.3533420241,16.0418329962,0,-33.0864318202,12.3253689409,4284.47970994,16.0418329962,0,4
east,east_0007,3500,0.0203161210099,75059.8774855,3131852.84823,native,0,1.58986701371e-05,51.7368442905,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,69.3896603029,189.286546657,176.505156484,470.409826278,922.518205086,21.1019572952,43.9770364597,57.4763524867,83.3058361797,125.857977008,0.755595921505,37.0745455984,0.0511255606929,2.92673064266,0.587809339589,30.4474100284,0.452108378808,24.3281244007,22.8750791645,13.4993160269,25.8294836931,42.5521408282,0,11.8529709902,-28.7453341099,22.9889039939,8117.82019652,22.9889039939,0,4
east,east_0008,4000,0.0232184240114,75355.878764,3132097.28108,native,0,0.00077479029629,76.9891122013,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,30.9222222222,false,false,30.9222222222,24.2800211488,82.0651623627,225.8838828,358.540721835,898.71270921,16.1667556177,41.3410366707,82.9619944962,176.846474529,286.555133747,0.32110451624,17.8020589749,0.575274881751,29.9107366481,0.26531367807,14.859018885,0.540171987375,28.3766751583,25.174281053,41.6209578255,93.8844800327,109.708659218,-61.1514721502,-107.221384294,18.6376878397,-111.869104443,6989.1329399,18.6376878397,0,1
east,east_0009,4500,0.0261207270128,75200.1295983,3132459.82062,native,0,7.99096493219e-05,96.1290582756,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,98.3310291163,195.243642544,207.246194961,447.420922284,966.629155437,6.83812221079,14.2035124818,28.9342930239,62.2594047348,102.641351054,0.779542825108,37.937941395,0.0480102096656,2.74867180584,0.480349454647,25.6572765872,0.519208233153,27.4387109086,7.36539027105,14.7307805421,33.3251117109,40.3819463187,0,0,-18.6376878397,-22.9889039939,0,0,0,2
