east_station_id,west_station_id,normalized_along_gulf_coordinate,xi_mismatch,east_alongshore_distance_m,west_alongshore_distance_m,east_distance_to_20m_isobath,west_distance_to_20m_isobath,east_raw_source_id,west_raw_source_id,east_median_top3_response,west_median_top3_response
east_0000,west_0000,0,0,0,0,15.5888445105,1293.32579585,gmrt_shore_blend,gmrt_shore_blend,nan,6.64947994929
east_0001,west_0001,0.00290230300142,0.00010490058822,500,500,50.4422572041,671.546049858,gmrt_shore_blend,gmrt_shore_blend,nan,6.57806188418
east_0002,west_0002,0.00580460600284,0.00020980117644,1000,1000,53.6747822169,768.223089269,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0003,west_0003,0.00870690900426,0.00031470176466,1500,1500,20.410891268,843.290485648,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0004,west_0004,0.0116092120057,0.00041960235288,2000,2000,26.6574283364,813.44500068,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0005,west_0005,0.0145115150071,0.0005245029411,2500,2500,57.7303593565,935.676310286,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0006,west_0006,0.0174138180085,0.00062940352932,3000,3000,31.9809469252,959.82606827,gmrt_shore_blend,gmrt_shore_blend,nan,7.13316457818
east_0007,west_0007,0.0203161210099,0.000734304117541,3500,3500,57.4763524867,594.293805374,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0008,west_0008,0.0232184240114,0.000839204705761,4000,4000,82.9619944962,507.270667284,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0009,west_0009,0.0261207270128,0.000944105293981,4500,4500,28.9342930239,440.804179466,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0010,west_0010,0.0290230300142,0.0010490058822,5000,5000,17.8231626866,429.468937027,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0011,west_0011,0.0319253330156,0.00115390647042,5500,5500,15.6893810124,487.069418793,gmrt_shore_blend,gmrt_shore_blend,16.8834303201,nan
east_0012,west_0012,0.034827636017,0.00125880705864,6000,6000,33.5884418216,554.374142246,gmrt_shore_blend,gmrt_shore_blend,14.1455877897,nan
east_0013,west_0013,0.0377299390185,0.00136370764686,6500,6500,39.2158190654,581.431551726,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0014,west_0015,0.0406322420199,0.00132879417812,7000,7500,91.8224508872,935.756645801,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0015,west_0016,0.0435345450213,0.0012238935899,7500,8000,52.7956650198,1147.68242727,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0016,west_0017,0.0464368480227,0.00111899300168,8000,8500,14.0820655405,1171.9747447,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0017,west_0018,0.0493391510241,0.00101409241346,8500,9000,12.3278028716,1242.47476496,copernicus_a2_land_core,gmrt_shore_blend,15.749069969,nan
east_0018,west_0019,0.0522414540256,0.000909191825239,9000,9500,23.3928775597,863.167501341,gmrt_shore_blend,gmrt_shore_blend,17.1794423147,nan
east_0019,west_0020,0.055143757027,0.000804291237019,9500,10000,36.2513941011,345.032298463,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0020,west_0021,0.0580460600284,0.000699390648799,10000,10500,56.3039001975,299.820888527,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0021,west_0022,0.0609483630298,0.000594490060579,10500,11000,59.0493494868,378.751805903,gmrt_shore_blend,copernicus_a2_land_core,nan,nan
east_0022,west_0023,0.0638506660312,0.000489589472359,11000,11500,61.4608699642,429.008436005,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0023,west_0024,0.0667529690327,0.000384688884139,11500,12000,39.6655232263,439.64282314,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0024,west_0025,0.0696552720341,0.000279788295919,12000,12500,31.4865574297,378.120811394,gmrt_shore_blend,gmrt_core,nan,nan
east_0025,west_0026,0.0725575750355,0.000174887707698,12500,13000,27.6210485203,268.498925965,gmrt_shore_blend,gmrt_core,nan,nan
east_0026,west_0027,0.0754598780369,6.99871194784e-05,13000,13500,22.4667531028,186.740770556,gmrt_shore_blend,gmrt_core,nan,nan
east_0027,west_0028,0.0783621810384,3.49134687417e-05,13500,14000,18.5829739533,182.75989416,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0028,west_0029,0.0812644840398,0.000139814056962,14000,14500,15.2759290128,230.406499739,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0029,west_0030,0.0841667870412,0.000244714645182,14500,15000,16.0028571396,188.902378,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0030,west_0031,0.0870690900426,0.000349615233402,15000,15500,23.6342358736,247.082625846,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0031,west_0032,0.089971393044,0.000454515821622,15500,16000,31.215176276,265.955883528,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0032,west_0033,0.0928736960455,0.000559416409842,16000,16500,22.1430771115,361.949585175,gmrt_shore_blend,gmrt_shore_blend,nan,5.59504322337
east_0033,west_0034,0.0957759990469,0.000664316998062,16500,17000,39.6446627963,359.762443771,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0034,west_0035,0.0986783020483,0.000769217586282,17000,17500,22.3008768948,360.005290418,copernicus_a2_land_core,gmrt_shore_blend,16.2124860104,nan
east_0035,west_0036,0.10158060505,0.000874118174502,17500,18000,21.0741263424,nan,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0036,west_0037,0.104482908051,0.000979018762722,18000,18500,19.3930273207,276.20379925,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0037,west_0038,0.107385211053,0.00108391935094,18500,19000,66.8260793907,130.583152344,copernicus_a2_land_core,gmrt_shore_blend,15.9721977369,nan
east_0038,west_0039,0.110287514054,0.00118881993916,19000,19500,62.4722284075,129.818350968,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0039,west_0040,0.113189817055,0.00129372052738,19500,20000,25.9782732981,162.972013098,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0040,west_0041,0.116092120057,0.0013986211156,20000,20500,64.2825013036,177.731132628,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0041,west_0043,0.118994423058,0.00129388070938,20500,21500,33.3407282684,240.668193408,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0042,west_0044,0.12189672606,0.00118898012116,21000,22000,21.3208876426,290.589765243,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0043,west_0045,0.124799029061,0.00108407953294,21500,22500,17.659090243,156.673745256,copernicus_a2_land_core,gmrt_shore_blend,nan,7.9548959366
east_0044,west_0046,0.127701332062,0.000979178944717,22000,23000,28.4682630603,113.408565132,copernicus_a2_land_core,gmrt_shore_blend,nan,6.14483433307
east_0045,west_0047,0.130603635064,0.000874278356497,22500,23500,54.8993084638,77.1200577766,copernicus_a2_land_core,gmrt_shore_blend,17.1762494077,nan
east_0046,west_0048,0.133505938065,0.000769377768277,23000,24000,18.4215393754,84.356405094,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0047,west_0049,0.136408241067,0.000664477180057,23500,24500,35.4995045997,100.391098043,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0048,west_0050,0.139310544068,0.000559576591837,24000,25000,20.3356766385,104.324245431,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0049,west_0051,0.14221284707,0.000454676003617,24500,25500,14.419874314,252.010346127,gmrt_shore_blend,gmrt_shore_blend,nan,5.56659127683
east_0050,west_0052,0.145115150071,0.000349775415397,25000,26000,92.2067415449,202.546824542,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0051,west_0053,0.148017453072,0.000244874827177,25500,26500,67.9450473577,69.3113602584,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0052,west_0054,0.150919756074,0.000139974238957,26000,27000,12.9732586703,96.519194102,gmrt_shore_blend,gmrt_shore_blend,16.9050749379,nan
east_0053,west_0055,0.153822059075,3.50736507367e-05,26500,27500,22.2556593215,202.391703365,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0054,west_0056,0.156724362077,6.98269374834e-05,27000,28000,22.1651195016,246.7394699,gmrt_shore_blend,gmrt_shore_blend,17.9321904857,nan
east_0055,west_0057,0.159626665078,0.000174727525703,27500,28500,11.8606355457,252.415142486,gmrt_shore_blend,gmrt_shore_blend,28.9142529493,nan
east_0056,west_0058,0.16252896808,0.000279628113924,28000,29000,14.1186019439,251.789638666,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0057,west_0059,0.165431271081,0.000384528702144,28500,29500,71.8229662394,299.913902508,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0058,west_0060,0.168333574082,0.000489429290364,29000,30000,32.6483179237,474.467523915,gmrt_shore_blend,gmrt_shore_blend,27.7789975221,nan
east_0059,west_0061,0.171235877084,0.000594329878584,29500,30500,15.2999658199,640.111752575,gmrt_shore_blend,gmrt_shore_blend,nan,7.25247065007
east_0060,west_0062,0.174138180085,0.000699230466804,30000,31000,25.8980477453,514.357417255,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0061,west_0063,0.177040483087,0.000804131055024,30500,31500,16.4023991151,510.986072575,copernicus_a2_land_core,gmrt_shore_blend,nan,12.2636008429
east_0062,west_0064,0.179942786088,0.000909031643244,31000,32000,10.313847444,532.885187992,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0063,west_0065,0.182845089089,0.00101393223146,31500,32500,15.7306087191,630.431069832,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0064,west_0066,0.185747392091,0.00111883281968,32000,33000,11.6356602548,1047.70454946,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0065,west_0067,0.188649695092,0.0012237334079,32500,33500,80.8352111527,1269.65049897,gmrt_shore_blend,gmrt_shore_blend,16.1314382356,5.63402816423
east_0066,west_0068,0.191551998094,0.00132863399612,33000,34000,49.7328441583,1215.57527751,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0067,west_0070,0.194454301095,0.00136386782886,33500,35000,16.8936086015,1810.56532498,copernicus_a2_land_core,gmrt_shore_blend,16.7379383988,6.70747087824
east_0068,west_0071,0.197356604097,0.00125896724064,34000,35500,13.8962708686,528.231756588,gmrt_shore_blend,copernicus_a2_land_core,nan,nan
east_0069,west_0072,0.200258907098,0.00115406665242,34500,36000,16.7661521156,447.392407798,copernicus_a2_land_core,gmrt_shore_blend,17.2282248025,6.0009826301
east_0070,west_0073,0.203161210099,0.0010491660642,35000,36500,12.0555511951,308.775883897,gmrt_shore_blend,copernicus_a2_land_core,17.7239902073,nan
east_0071,west_0074,0.206063513101,0.000944265475976,35500,37000,4.68831560772,427.621260115,copernicus_a2_land_core,gmrt_shore_blend,16.8304720583,nan
east_0072,west_0075,0.208965816102,0.000839364887756,36000,37500,23.8356273422,303.286255032,gmrt_shore_blend,gmrt_shore_blend,23.6787296587,nan
east_0073,west_0076,0.211868119104,0.000734464299536,36500,38000,8.7991802721,200.287940407,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0074,west_0077,0.214770422105,0.000629563711315,37000,38500,14.3641396015,230.109017488,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0075,west_0078,0.217672725107,0.000524663123095,37500,39000,11.0785445407,268.300439012,copernicus_a2_land_core,gmrt_shore_blend,nan,5.00869027152
east_0076,west_0079,0.220575028108,0.000419762534875,38000,39500,21.4646567262,352.258086572,gmrt_shore_blend,gmrt_shore_blend,17.0806895533,nan
