case_id,requested_time_min_s,side,representation,common_scale_m,response,predictor,boundary_exclusion_m,raw_source_class_subset,matched_resolution_subset,spearman_rho,block_bootstrap_ci_low,block_bootstrap_ci_high,sample_count,same_sign_case_count
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,0,all,all,0,-0.119047619048,0.5,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,0,all,all,0.142857142857,-0.5,0.5,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,0,all,all,0.166666666667,-0.257142857143,0.5775,9,5
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,0,all,all,0.316666666667,-0.257142857143,0.697857142857,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,0,all,all,0.355983339401,-0.316227766017,0.780720058359,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,0,all,all,0,-0.119047619048,0.5,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,0,all,all,0.047619047619,-0.5,0.474285714286,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,0,all,all,-0.0166666666667,-0.5,1,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,0,all,all,0.316343325226,-0.20003306605,0.866025403784,9,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,0,all,all,0.36514837167,-0.774596669241,0.866025403784,9,5
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,0,all,all,-0.55,-1,0.2,9,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,0,all,all,-0.113668330227,-0.632455532034,0.0765951201705,9,5
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,0,all,all,0.171860015649,-0.44250237185,0.5,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,0,all,all,-0.183618071905,-0.606754807894,0.187101428227,9,4
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,0,all,all,0.122412047937,-0.5,0.666736691,9,3
