side,station_id,distance_offshore_m,bed_elevation_m,water_depth_m,source_topo_id,native_resolution_m,effective_resolution_m,valid_source_data
east,east_0000,0,-0.159476262573,0.159476262573,topo-bathy.tt3,30,30,true
east,east_0000,50,-63.7964049782,63.7964049782,topo-bathy.tt3,30,30,true
east,east_0000,100,-137.420316524,137.420316524,topo-bathy.tt3,30,30,true
east,east_0000,150,-166.782415872,166.782415872,topo-bathy.tt3,30,30,true
east,east_0000,200,-190.266791254,190.266791254,topo-bathy.tt3,30,30,true
east,east_0000,250,-213.341378696,213.341378696,topo-bathy.tt3,30,30,true
east,east_0000,300,-222.618928998,222.618928998,topo-bathy.tt3,30,30,true
east,east_0000,350,-242.615067966,242.615067966,topo-bathy.tt3,30,30,true
east,east_0000,400,-120.486263049,120.486263049,topo-bathy.tt3,30,30,true
east,east_0000,450,-106.943104284,106.943104284,topo-bathy.tt3,30,30,true
east,east_0000,500,-131.598500073,131.598500073,topo-bathy.tt3,30,30,true
east,east_0000,550,-163.12371275,163.12371275,topo-bathy.tt3,30,30,true
east,east_0000,600,-195.520107483,195.520107483,topo-bathy.tt3,30,30,true
east,east_0000,650,-222.862422512,222.862422512,topo-bathy.tt3,30,30,true
east,east_0000,700,-245.141013473,245.141013473,topo-bathy.tt3,30,30,true
east,east_0000,750,-268.298924187,268.298924187,topo-bathy.tt3,30,30,true
east,east_0000,800,-290.700782629,290.700782629,topo-bathy.tt3,30,30,true
east,east_0000,850,-302.488228132,302.488228132,topo-bathy.tt3,30,30,true
east,east_0000,900,-303.783576826,303.783576826,topo-bathy.tt3,30,30,true
east,east_0000,950,-309.670732148,309.670732148,topo-bathy.tt3,30,30,true
east,east_0000,1000,-333.218459787,333.218459787,topo-bathy.tt3,30,30,true
east,east_0000,1050,-366.119255208,366.119255208,topo-bathy.tt3,30,30,true
east,east_0000,1100,-398.062902396,398.062902396,topo-bathy.tt3,30,30,true
east,east_0000,1150,-428.655373002,428.655373002,topo-bathy.tt3,30,30,true
east,east_0000,1200,-454.736265493,454.736265493,topo-bathy.tt3,30,30,true
east,east_0000,1250,-479.867058834,479.867058834,topo-bathy.tt3,30,30,true
east,east_0000,1300,-506.006094103,506.006094103,topo-bathy.tt3,30,30,true
east,east_0000,1350,-529.617994586,529.617994586,topo-bathy.tt3,30,30,true
east,east_0000,1400,-548.052214921,548.052214921,topo-bathy.tt3,30,30,true
east,east_0000,1450,-569.383742354,569.383742354,topo-bathy.tt3,30,30,true
east,east_0000,1500,-591.273095745,591.273095745,topo-bathy.tt3,30,30,true
east,east_0000,1550,-611.456060524,611.456060524,topo-bathy.tt3,30,30,true
east,east_0000,1600,-630.182433736,630.182433736,topo-bathy.tt3,30,30,true
east,east_0000,1650,-648.419037309,648.419037309,topo-bathy.tt3,30,30,true
east,east_0000,1700,-666.31599612,666.31599612,topo-bathy.tt3,30,30,true
east,east_0000,1750,-683.330345833,683.330345833,topo-bathy.tt3,30,30,true
east,east_0000,1800,-700.848070709,700.848070709,topo-bathy.tt3,30,30,true
east,east_0000,1850,-718.101919782,718.101919782,topo-bathy.tt3,30,30,true
east,east_0000,1900,-736.075393793,736.075393793,topo-bathy.tt3,30,30,true
east,east_0000,1950,-754.00934515,754.00934515,topo-bathy.tt3,30,30,true
east,east_0000,2000,-777.040191108,777.040191108,topo-bathy.tt3,30,30,true
east,east_0020,0,0.506796110702,-0.506796110702,topo-bathy.tt3,30,30,true
east,east_0020,50,-15.2025905408,15.2025905408,topo-bathy.tt3,30,30,true
east,east_0020,100,-53.2537121394,53.2537121394,topo-bathy.tt3,30,30,true
east,east_0020,150,-83.9962817395,83.9962817395,topo-bathy.tt3,30,30,true
east,east_0020,200,-108.152451341,108.152451341,topo-bathy.tt3,30,30,true
east,east_0020,250,-136.682799442,136.682799442,topo-bathy.tt3,30,30,true
east,east_0020,300,-172.10780002,172.10780002,topo-bathy.tt3,30,30,true
east,east_0020,350,-212.390065829,212.390065829,topo-bathy.tt3,30,30,true
east,east_0020,400,-251.67237992,251.67237992,topo-bathy.tt3,30,30,true
east,east_0020,450,-276.694973184,276.694973184,topo-bathy.tt3,30,30,true
east,east_0020,500,-240.568358798,240.568358798,topo-bathy.tt3,30,30,true
east,east_0020,550,-142.522684181,142.522684181,topo-bathy.tt3,30,30,true
east,east_0020,600,-167.766645771,167.766645771,topo-bathy.tt3,30,30,true
east,east_0020,650,-196.129660232,196.129660232,topo-bathy.tt3,30,30,true
east,east_0020,700,-228.561159443,228.561159443,topo-bathy.tt3,30,30,true
east,east_0020,750,-264.347522542,264.347522542,topo-bathy.tt3,30,30,true
east,east_0020,800,-311.055955153,311.055955153,topo-bathy.tt3,30,30,true
east,east_0020,850,-364.089523778,364.089523778,topo-bathy.tt3,30,30,true
east,east_0020,900,-411.188735265,411.188735265,topo-bathy.tt3,30,30,true
east,east_0020,950,-443.238657961,443.238657961,topo-bathy.tt3,30,30,true
east,east_0020,1000,-468.462108216,468.462108216,topo-bathy.tt3,30,30,true
east,east_0020,1050,-493.026186799,493.026186799,topo-bathy.tt3,30,30,true
east,east_0020,1100,-522.813458465,522.813458465,topo-bathy.tt3,30,30,true
east,east_0020,1150,-557.142393616,557.142393616,topo-bathy.tt3,30,30,true
east,east_0020,1200,-588.340569626,588.340569626,topo-bathy.tt3,30,30,true
east,east_0020,1250,-606.634277462,606.634277462,topo-bathy.tt3,30,30,true
east,east_0020,1300,-620.172518975,620.172518975,topo-bathy.tt3,30,30,true
east,east_0020,1350,-639.311292768,639.311292768,topo-bathy.tt3,30,30,true
east,east_0020,1400,-663.203403333,663.203403333,topo-bathy.tt3,30,30,true
east,east_0020,1450,-687.040243692,687.040243692,topo-bathy.tt3,30,30,true
east,east_0020,1500,-705.173406638,705.173406638,topo-bathy.tt3,30,30,true
east,east_0020,1550,-715.213265956,715.213265956,topo-bathy.tt3,30,30,true
east,east_0020,1600,-722.136643478,722.136643478,topo-bathy.tt3,30,30,true
east,east_0020,1650,-719.845774321,719.845774321,topo-bathy.tt3,30,30,true
east,east_0020,1700,-710.271187061,710.271187061,topo-bathy.tt3,30,30,true
east,east_0020,1750,-702.89862979,702.89862979,topo-bathy.tt3,30,30,true
east,east_0020,1800,-707.086290191,707.086290191,topo-bathy.tt3,30,30,true
east,east_0020,1850,-720.860229195,720.860229195,topo-bathy.tt3,30,30,true
east,east_0020,1900,-740.070441351,740.070441351,topo-bathy.tt3,30,30,true
east,east_0020,1950,-759.374975831,759.374975831,topo-bathy.tt3,30,30,true
east,east_0020,2000,-776.385615958,776.385615958,topo-bathy.tt3,30,30,true
east,east_0040,0,2.56618382359,-2.56618382359,topo-bathy.tt3,30,30,true
east,east_0040,50,-14.4695383255,14.4695383255,topo-bathy.tt3,30,30,true
east,east_0040,100,-33.8305086378,33.8305086378,topo-bathy.tt3,30,30,true
east,east_0040,150,-39.2708219392,39.2708219392,topo-bathy.tt3,30,30,true
east,east_0040,200,-46.0071111028,46.0071111028,topo-bathy.tt3,30,30,true
east,east_0040,250,-54.53904307,54.53904307,topo-bathy.tt3,30,30,true
east,east_0040,300,-62.8875135563,62.8875135563,topo-bathy.tt3,30,30,true
east,east_0040,350,-71.6086724321,71.6086724321,topo-bathy.tt3,30,30,true
east,east_0040,400,-80.6379967155,80.6379967155,topo-bathy.tt3,30,30,true
east,east_0040,450,-88.0724838324,88.0724838324,topo-bathy.tt3,30,30,true
east,east_0040,500,-86.4252130045,86.4252130045,topo-bathy.tt3,30,30,true
east,east_0040,550,-91.9772873125,91.9772873125,topo-bathy.tt3,30,30,true
east,east_0040,600,-112.811771228,112.811771228,topo-bathy.tt3,30,30,true
east,east_0040,650,-135.104172467,135.104172467,topo-bathy.tt3,30,30,true
east,east_0040,700,-155.308636399,155.308636399,topo-bathy.tt3,30,30,true
east,east_0040,750,-170.818735172,170.818735172,topo-bathy.tt3,30,30,true
east,east_0040,800,-188.446058432,188.446058432,topo-bathy.tt3,30,30,true
east,east_0040,850,-200.620571368,200.620571368,topo-bathy.tt3,30,30,true
east,east_0040,900,-211.874036247,211.874036247,topo-bathy.tt3,30,30,true
east,east_0040,950,-224.853538544,224.853538544,topo-bathy.tt3,30,30,true
east,east_0040,1000,-239.799839037,239.799839037,topo-bathy.tt3,30,30,true
east,east_0040,1050,-256.948283139,256.948283139,topo-bathy.tt3,30,30,true
east,east_0040,1100,-272.955829489,272.955829489,topo-bathy.tt3,30,30,true
east,east_0040,1150,-281.563504351,281.563504351,topo-bathy.tt3,30,30,true
east,east_0040,1200,-286.09400616,286.09400616,topo-bathy.tt3,30,30,true
east,east_0040,1250,-304.755665251,304.755665251,topo-bathy.tt3,30,30,true
east,east_0040,1300,-340.7236514,340.7236514,topo-bathy.tt3,30,30,true
east,east_0040,1350,-379.255328349,379.255328349,topo-bathy.tt3,30,30,true
east,east_0040,1400,-397.503343645,397.503343645,topo-bathy.tt3,30,30,true
east,east_0040,1450,-410.966580275,410.966580275,topo-bathy.tt3,30,30,true
east,east_0040,1500,-425.673488159,425.673488159,topo-bathy.tt3,30,30,true
east,east_0040,1550,-440.612510906,440.612510906,topo-bathy.tt3,30,30,true
east,east_0040,1600,-461.038452495,461.038452495,topo-bathy.tt3,30,30,true
east,east_0040,1650,-493.720721742,493.720721742,topo-bathy.tt3,30,30,true
east,east_0040,1700,-521.751390954,521.751390954,topo-bathy.tt3,30,30,true
east,east_0040,1750,-550.987190174,550.987190174,topo-bathy.tt3,30,30,true
east,east_0040,1800,-581.880713445,581.880713445,topo-bathy.tt3,30,30,true
east,east_0040,1850,-612.29795336,612.29795336,topo-bathy.tt3,30,30,true
east,east_0040,1900,-644.479980988,644.479980988,topo-bathy.tt3,30,30,true
east,east_0040,1950,-674.563657975,674.563657975,topo-bathy.tt3,30,30,true
east,east_0040,2000,-699.883184487,699.883184487,topo-bathy.tt3,30,30,true
east,east_0060,0,-4.73505497254,4.73505497254,topo-bathy.tt3,30,30,true
east,east_0060,50,-34.2062822588,34.2062822588,topo-bathy.tt3,30,30,true
east,east_0060,100,-57.2635838259,57.2635838259,topo-bathy.tt3,30,30,true
east,east_0060,150,-76.5032162009,76.5032162009,topo-bathy.tt3,30,30,true
east,east_0060,200,-99.314884451,99.314884451,topo-bathy.tt3,30,30,true
east,east_0060,250,-125.673806067,125.673806067,topo-bathy.tt3,30,30,true
east,east_0060,300,-138.582590753,138.582590753,topo-bathy.tt3,30,30,true
east,east_0060,350,-64.4253894217,64.4253894217,topo-bathy.tt3,30,30,true
east,east_0060,400,-68.7581272887,68.7581272887,topo-bathy.tt3,30,30,true
east,east_0060,450,-88.206279269,88.206279269,topo-bathy.tt3,30,30,true
east,east_0060,500,-116.283432486,116.283432486,topo-bathy.tt3,30,30,true
east,east_0060,550,-152.783180645,152.783180645,topo-bathy.tt3,30,30,true
east,east_0060,600,-195.536808543,195.536808543,topo-bathy.tt3,30,30,true
east,east_0060,650,-234.3113455,234.3113455,topo-bathy.tt3,30,30,true
east,east_0060,700,-272.204244592,272.204244592,topo-bathy.tt3,30,30,true
east,east_0060,750,-307.399040467,307.399040467,topo-bathy.tt3,30,30,true
east,east_0060,800,-343.01686484,343.01686484,topo-bathy.tt3,30,30,true
east,east_0060,850,-381.470481741,381.470481741,topo-bathy.tt3,30,30,true
east,east_0060,900,-412.589801177,412.589801177,topo-bathy.tt3,30,30,true
east,east_0060,950,-439.347823144,439.347823144,topo-bathy.tt3,30,30,true
east,east_0060,1000,-467.034058816,467.034058816,topo-bathy.tt3,30,30,true
east,east_0060,1050,-491.640483103,491.640483103,topo-bathy.tt3,30,30,true
east,east_0060,1100,-515.446296892,515.446296892,topo-bathy.tt3,30,30,true
east,east_0060,1150,-543.915393852,543.915393852,topo-bathy.tt3,30,30,true
east,east_0060,1200,-571.177765755,571.177765755,topo-bathy.tt3,30,30,true
east,east_0060,1250,-591.732945818,591.732945818,topo-bathy.tt3,30,30,true
east,east_0060,1300,-609.840388578,609.840388578,topo-bathy.tt3,30,30,true
east,east_0060,1350,-627.358198016,627.358198016,topo-bathy.tt3,30,30,true
east,east_0060,1400,-645.90708506,645.90708506,topo-bathy.tt3,30,30,true
east,east_0060,1450,-664.364735088,664.364735088,topo-bathy.tt3,30,30,true
east,east_0060,1500,-683.629622138,683.629622138,topo-bathy.tt3,30,30,true
east,east_0060,1550,-715.083183937,715.083183937,topo-bathy.tt3,30,30,true
east,east_0060,1600,-754.591382941,754.591382941,topo-bathy.tt3,30,30,true
east,east_0060,1650,-784.549282938,784.549282938,topo-bathy.tt3,30,30,true
east,east_0060,1700,-807.475563033,807.475563033,topo-bathy.tt3,30,30,true
