side,station_id,source_topo_id,model_grid_spacing_m,native_dx_m,native_dy_m,effective_resolution_m,raw_source_class_value,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,source_precedence_rank,multibeam_coverage,distance_to_raw_source_boundary_m,distance_to_resolution_boundary_m,distance_to_raw_source_boundary_censored
east,east_0000,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,111.491657774,111.491657774,false
east,east_0001,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0002,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0003,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0004,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0005,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,43.7306260454,43.7306260454,false
east,east_0006,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0007,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0008,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0009,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,111.491657774,111.491657774,false
east,east_0010,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0011,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0012,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0013,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0014,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,197.998830586,197.998830586,false
east,east_0015,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0016,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0017,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0018,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0019,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,131.191878136,131.191878136,false
east,east_0020,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0021,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0022,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0023,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,157.673014515,157.673014515,false
east,east_0024,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,127.495588401,127.495588401,false
east,east_0025,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0026,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0027,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,154.611111111,154.611111111,false
east,east_0028,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0029,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,97.7846525361,97.7846525361,false
east,east_0030,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0031,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0032,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0033,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0034,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0035,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,111.491657774,111.491657774,false
east,east_0036,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
