case_id,requested_time_min_s,effective_first_selected_time_s,effective_last_selected_time_s,selected_frame_count,seaward_distance_m,landward_distance_m,zone,frames_with_both_east_and_west,frames_east_only,frames_west_only,frames_neither,east_global_max_mps,west_global_max_mps,east_west_global_max_ratio,east_median_frame_max_mps,west_median_frame_max_mps,east_west_median_frame_max_ratio,east_mean_frame_max_mps,west_mean_frame_max_mps,east_west_mean_frame_max_ratio,east_median_frame_top10_mean_mps,west_median_frame_top10_mean_mps,east_west_median_frame_top10_ratio,east_mean_frame_top10_mean_mps,west_mean_frame_top10_mean_mps,east_west_mean_frame_top10_ratio,frames_east_max_gt_west,frames_west_max_gt_east,fraction_frames_east_max_gt_west,frames_east_top10_gt_west,frames_west_top10_gt_east,fraction_frames_east_top10_gt_west,east_topN_unique_median_max_mps,west_topN_unique_median_max_mps,east_west_topN_unique_median_ratio,east_topN_unique_mean_max_mps,west_topN_unique_mean_max_mps,east_west_topN_unique_mean_ratio,east_topN_recurrent_ge_2_frames,west_topN_recurrent_ge_2_frames
aqaba_lsa_c10_angm25,900,900,3600,24,1000,500,seaward,24,0,0,0,23.6787296587,7.58303018648,3.1225946721,13.9833432687,4.62043852045,3.02641041685,14.6956132145,4.8445718547,3.03341836084,10.168928324,3.49905479039,2.90619293871,10.1098489957,3.83230680159,2.63805835992,24,0,1,24,0,1,16.3201085132,6.67012134099,2.44674836917,16.7743162476,6.77059611474,2.47752427752,5,3
aqaba_lsa_c10_angm25,900,900,3600,24,1000,500,landward_inundated,24,0,0,0,17.5300820101,6.85377274734,2.55772735051,14.277922814,3.99691017048,3.57224010674,14.2916337542,4.23700727589,3.37304914143,10.5262218231,2.82993263125,3.71960155758,10.4602329197,3.10580576403,3.36796107498,24,0,1,24,0,1,15.0890866007,5.75068597411,2.62387594603,15.5206109202,5.83918687157,2.65800894227,10,4
aqaba_lsa_c10_angm25,900,900,3600,24,1000,500,combined_coastal,24,0,0,0,23.6787296587,7.58303018648,3.1225946721,15.4640840085,4.62043852045,3.34688665158,15.9072340104,4.91887527942,3.23391692344,11.9796816192,3.71670302763,3.22320118938,12.0313378686,4.01680945758,2.99524734635,24,0,1,24,0,1,17.2038335586,6.71596380012,2.56163286025,17.6418854927,6.82510562215,2.5848516447,6,3
aqaba_lsb_nc10_angm20,900,900,3600,24,1000,500,seaward,24,0,0,0,18.4476041902,12.2636008429,1.5042567372,14.3712630404,3.82972914908,3.75255337414,14.3255696875,4.68044541566,3.06072786141,10.0519581528,2.86002638761,3.51463825522,9.97638323467,3.22517606555,3.09328329118,23,1,0.958333333333,24,0,1,15.8514855714,6.09826353666,2.59934413725,16.1466593822,6.9046612731,2.33851578571,2,5
aqaba_lsb_nc10_angm20,900,900,3600,24,1000,500,landward_inundated,24,0,0,0,27.7789975221,8.07004879548,3.4422341458,14.7620844819,3.68154459845,4.00975299556,15.4830122359,4.04772761058,3.82511219268,11.6240736039,2.2698530668,5.12106874841,11.3749611518,2.59208651759,4.38834162156,24,0,1,24,0,1,15.6043817611,5.93768006226,2.62802670361,17.1713823014,6.10269106897,2.81373939912,8,0
aqaba_lsb_nc10_angm20,900,900,3600,24,1000,500,combined_coastal,24,0,0,0,27.7789975221,12.2636008429,2.26515832324,15.1449963047,4.33726503219,3.49183095622,16.0681323005,5.05443219561,3.17901827122,12.5826990405,3.03087627708,4.15150533715,12.8118365728,3.45316065995,3.71017680162,24,0,1,24,0,1,16.9733458509,6.77923621965,2.50372539043,18.030522673,7.37470517372,2.44491437262,3,4
aqaba_lsc_c10_angm30,900,900,3600,24,1000,500,seaward,24,0,0,0,33.1052902202,10.6951827492,3.0953459138,16.6662750009,8.27586105502,2.01384180934,20.3650376973,8.53175112475,2.38697043544,11.3581950851,3.52559530383,3.2216389308,11.3345472233,3.75324092931,3.01993595316,23,1,0.958333333333,24,0,1,17.5542199467,8.27586105502,2.12113517011,19.6581480418,8.15411367484,2.41082585131,9,7
aqaba_lsc_c10_angm30,900,900,3600,24,1000,500,landward_inundated,24,0,0,0,32.4614455626,5.05374568657,6.42324477245,15.2447742807,2.16805092378,7.03155729112,18.4996564978,2.65351998875,6.97174190368,10.9757356694,1.60159793268,6.85299065729,10.9141778845,1.94253571683,5.61852108557,24,0,1,24,0,1,16.0469953682,4.51032479629,3.557835875,18.3058656639,4.57513419129,4.00116475246,8,1
aqaba_lsc_c10_angm30,900,900,3600,24,1000,500,combined_coastal,24,0,0,0,33.1052902202,10.6951827492,3.0953459138,27.9442628382,8.27586105502,3.37659883998,24.6846277567,8.53175112475,2.8932662704,13.513640895,3.61732080722,3.73581487936,13.6316783053,3.8442018128,3.54603607435,24,0,1,24,0,1,19.5773255088,8.27586105502,2.3655937888,22.1715913105,8.15411367484,2.71906821448,8,7
aqaba_lsd_nc8_angm40,900,900,3600,24,1000,500,seaward,24,0,0,0,18.1589740151,6.14880558743,2.95325226289,13.3668544181,4.13839796321,3.22995867893,13.4296907745,4.08868071881,3.28460246669,8.39518766833,3.15493469229,2.66097034872,8.41226786402,3.29824483107,2.55052862807,24,0,1,24,0,1,14.1108346362,5.60891942188,2.51578487314,14.9389926971,5.67547918475,2.63219936341,9,1
